# of SOMs,# of classes,It-1,It-2,It-3,It-4,It-5,It-6,It-7,It-8
1,21,0.6095238095238096,0.6,0.6238095238095238,0.6761904761904762,0.6,0.6476190476190476,0.6238095238095238,0.680952380952381
5,21,0.8714285714285714,0.8285714285714286,0.8428571428571429,0.8380952380952381,0.8238095238095238,0.8333333333333334,0.8095238095238095,0.8285714285714286
10,21,0.8714285714285714,0.8761904761904762,0.8857142857142857,0.8809523809523809,0.8666666666666667,0.8238095238095238,0.8571428571428571,0.8666666666666667
15,21,0.8380952380952381,0.8809523809523809,0.9047619047619048,0.8761904761904762,0.8476190476190476,0.861904761904762,0.9095238095238095,0.8714285714285714
21,21,0.8761904761904762,0.9047619047619048,0.9,0.8761904761904762,0.8809523809523809,0.9,0.8857142857142857,0.861904761904762
