DIM,# of classes,It-1,It-2,It-3,It-4,It-5,It-6,It-7,It-8
400,21,0.43333333333333335,0.46190476190476193,0.4523809523809524,0.44761904761904764,0.4666666666666667,0.4857142857142857,0.46190476190476193,0.49047619047619045
1000,21,0.719047619047619,0.6666666666666666,0.680952380952381,0.6952380952380952,0.719047619047619,0.6666666666666666,0.6761904761904762,0.6095238095238096
2000,21,0.7904761904761904,0.8142857142857143,0.7857142857142857,0.819047619047619,0.7761904761904762,0.7761904761904762,0.7857142857142857,0.7857142857142857
5000,21,0.8523809523809524,0.8142857142857143,0.8523809523809524,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8571428571428571,0.8428571428571429
10000,21,0.8523809523809524,0.9047619047619048,0.8571428571428571,0.8857142857142857,0.8952380952380953,0.861904761904762,0.8666666666666667,0.8761904761904762
